time,open,high,low,close,volume,hl_range,chaikin_vol,roc
2025-11-03T00:53:48+00:00,61.28,61.28,61.28,61.28,1,0.0,-52.16167261155148,0.016321201240408045
2025-11-03T00:53:51+00:00,61.27,61.27,61.27,61.27,8,0.0,-68.34913683673183,0.0
2025-11-03T00:53:54+00:00,61.27,61.27,61.27,61.27,4,0.0,-68.34913683673183,0.0
2025-11-03T00:54:00+00:00,61.26,61.26,61.26,61.26,5,0.0,-68.34913683673183,0.0
2025-11-03T00:54:18+00:00,61.26,61.26,61.26,61.26,1,0.0,-68.34913683673183,-0.016321201240419643
2025-11-03T00:54:27+00:00,61.26,61.26,61.26,61.26,4,0.0,-68.34913683673183,-0.03263707571802077
2025-11-03T00:54:39+00:00,61.26,61.26,61.26,61.26,15,0.0,-68.34913683673183,-0.03263707571802077
2025-11-03T00:54:45+00:00,61.27,61.27,61.27,61.27,2,0.0,-68.34913683673182,-0.016318537859004587
2025-11-03T00:54:48+00:00,61.25,61.26,61.25,61.26,5,0.00999999999999801,69.51587581361991,-0.016321201240419643
2025-11-03T00:55:00+00:00,61.26,61.26,61.26,61.26,2,0.0,69.51587581361991,-0.03263707571802077
2025-11-03T00:55:03+00:00,61.26,61.26,61.26,61.26,2,0.0,69.51587581361991,-0.03263707571802077
2025-11-03T00:55:30+00:00,61.26,61.26,61.26,61.26,3,0.0,-51.80269989182591,-0.016321201240419643
2025-11-03T00:55:33+00:00,61.26,61.26,61.26,61.26,1,0.0,-51.802699891825924,-0.016321201240419643
2025-11-03T00:55:42+00:00,61.26,61.26,61.26,61.26,1,0.0,-51.80269989182591,0.0
2025-11-03T00:56:00+00:00,61.26,61.27,61.26,61.26,3,0.010000000000005116,78.86476109616089,0.0
2025-11-03T00:56:03+00:00,61.27,61.27,61.27,61.27,14,0.0,78.86476109616089,0.016323865491356702
2025-11-03T00:56:15+00:00,61.27,61.27,61.27,61.27,1,0.0,78.86476109616089,0.016323865491356702
2025-11-03T00:56:33+00:00,61.26,61.26,61.26,61.26,1,0.0,78.86476109616089,-0.016321201240419643
2025-11-03T00:56:36+00:00,61.26,61.26,61.26,61.26,2,0.0,78.86476109616089,0.0
2025-11-03T00:56:45+00:00,61.25,61.25,61.25,61.25,1,0.0,78.86476109616088,-0.016323865491345103
2025-11-03T00:57:06+00:00,61.25,61.25,61.25,61.25,1,0.0,-66.60357591279728,-0.016323865491345103
2025-11-03T00:57:33+00:00,61.25,61.25,61.25,61.25,9,0.0,-66.60357591279727,-0.016323865491345103
2025-11-03T00:57:39+00:00,61.24,61.25,61.24,61.25,30,0.00999999999999801,54.88740502951606,-0.016323865491345103
2025-11-03T00:57:42+00:00,61.24,61.24,61.24,61.24,1,0.0,54.88740502951606,-0.03264773098269021
2025-11-03T00:57:45+00:00,61.25,61.25,61.25,61.25,1,0.0,54.88740502951606,-0.016323865491345103
2025-11-03T00:57:51+00:00,61.24,61.24,61.24,61.24,1,0.0,54.887405029516046,-0.04896360372123573
2025-11-03T00:57:54+00:00,61.25,61.25,61.25,61.25,8,0.0,-58.263692090973166,-0.032642402480827684
2025-11-03T00:58:00+00:00,61.25,61.26,61.25,61.26,8,0.00999999999999801,31.02425572055759,0.0
2025-11-03T00:58:06+00:00,61.25,61.25,61.25,61.25,5,0.0,31.02425572055759,-0.016323865491345103
2025-11-03T00:58:45+00:00,61.24,61.24,61.23,61.23,15,0.010000000000005116,164.40501726627238,-0.032653061224494906
2025-11-03T00:58:51+00:00,61.25,61.25,61.25,61.25,2,0.0,164.40501726627244,0.0
2025-11-03T00:58:54+00:00,61.25,61.25,61.25,61.25,2,0.0,164.4050172662724,0.0
2025-11-03T00:58:57+00:00,61.25,61.25,61.25,61.25,1,0.0,164.40501726627247,0.0
2025-11-03T00:59:12+00:00,61.25,61.25,61.25,61.25,1,0.0,164.40501726627244,0.016329196603523857
2025-11-03T00:59:21+00:00,61.25,61.25,61.25,61.25,2,0.0,-42.989669910694985,0.0
2025-11-03T00:59:27+00:00,61.25,61.25,61.25,61.25,3,0.0,-42.989669910694985,0.016329196603523857
2025-11-03T00:59:42+00:00,61.25,61.25,61.25,61.25,3,0.0,-42.989669910694985,0.0
2025-11-03T00:59:45+00:00,61.26,61.26,61.26,61.26,7,0.0,-42.989669910694985,0.0
2025-11-03T00:59:48+00:00,61.25,61.25,61.25,61.25,1,0.0,-42.98966991069498,0.0
2025-11-03T00:59:51+00:00,61.27,61.27,61.26,61.26,10,0.010000000000005116,-13.693877446024166,0.04899559039686614
2025-11-03T01:00:00+00:00,61.27,61.3,61.26,61.29,66,0.03999999999999915,319.46493621558386,0.06530612244897821
2025-11-03T01:00:03+00:00,61.29,61.3,61.28,61.29,19,0.01999999999999602,208.75447910063394,0.06530612244897821
2025-11-03T01:00:06+00:00,61.3,61.32,61.3,61.31,26,0.020000000000003126,332.06600507963276,0.09795918367347309
2025-11-03T01:00:12+00:00,61.31,61.31,61.3,61.31,14,0.010000000000005116,407.4230487334922,0.09795918367347309
2025-11-03T01:00:15+00:00,61.31,61.32,61.31,61.32,6,0.00999999999999801,499.52610208814383,0.11428571428571475
2025-11-03T01:00:18+00:00,61.32,61.35,61.32,61.34,27,0.030000000000001137,837.2372977219464,0.14693877551020965
2025-11-03T01:00:21+00:00,61.34,61.35,61.34,61.35,20,0.00999999999999801,974.8233403875373,0.1632653061224513
2025-11-03T01:00:24+00:00,61.36,61.36,61.34,61.35,16,0.01999999999999602,1311.1447780145368,0.14691478942214073
2025-11-03T01:00:27+00:00,61.36,61.38,61.36,61.38,19,0.020000000000003126,1722.204312892127,0.21224489795918783
2025-11-03T01:00:30+00:00,61.38,61.38,61.37,61.38,13,0.010000000000005116,1973.4073619840767,0.19588638589618765
2025-11-03T01:00:33+00:00,61.37,61.37,61.37,61.37,3,0.0,1973.4073619840767,0.13052700277369603
2025-11-03T01:00:36+00:00,61.37,61.37,61.36,61.36,9,0.00999999999999801,415.2321961244553,0.11421112742698693
2025-11-03T01:00:39+00:00,61.35,61.35,61.33,61.33,100,0.020000000000003126,45.722868512039845,0.03262110585548201
2025-11-03T01:00:42+00:00,61.33,61.33,61.3,61.3,29,0.030000000000001137,47.120500498465745,-0.016310552927752596
2025-11-03T01:00:45+00:00,61.3,61.3,61.3,61.3,7,0.0,5.132347748711132,-0.03261578604044867
2025-11-03T01:00:48+00:00,61.3,61.3,61.28,61.28,7,0.01999999999999602,19.221076729139394,-0.09781545484186871
2025-11-03T01:00:51+00:00,61.29,61.29,61.29,61.29,4,0.0,0.9055686090800076,-0.09779951100244869
2025-11-03T01:00:54+00:00,61.29,61.3,61.29,61.29,5,0.00999999999999801,-23.442481156000667,-0.09779951100244869
2025-11-03T01:00:57+00:00,61.29,61.29,61.29,61.29,5,0.0,-33.242460053225216,-0.14662756598241025
2025-11-03T01:01:00+00:00,61.29,61.3,61.29,61.3,12,0.00999999999999801,-37.236323768556275,-0.13033561420659073
2025-11-03T01:01:03+00:00,61.3,61.3,61.27,61.27,11,0.02999999999999403,-17.557233768051756,-0.16294606485252455
2025-11-03T01:01:06+00:00,61.27,61.29,61.27,61.29,7,0.01999999999999602,-3.314622254868145,-0.11408083441981794
2025-11-03T01:01:09+00:00,61.28,61.28,61.27,61.27,2,0.00999999999999801,11.49317453987964,-0.09783140388063781
2025-11-03T01:01:12+00:00,61.26,61.27,61.25,61.25,7,0.020000000000003126,25.056722409472478,-0.08156606851549292
2025-11-03T01:01:15+00:00,61.27,61.27,61.27,61.27,1,0.0,-9.023700749646284,-0.04893964110928879
2025-11-03T01:01:18+00:00,61.26,61.26,61.26,61.26,1,0.0,-39.33374439608033,-0.03263707571802077
2025-11-03T01:01:21+00:00,61.26,61.29,61.26,61.29,15,0.030000000000001137,1.38632138638568,0.0
2025-11-03T01:01:24+00:00,61.28,61.28,61.28,61.28,2,0.0,-23.872319800048462,-0.016315875346709103
2025-11-03T01:01:30+00:00,61.29,61.29,61.29,61.29,3,0.0,-23.87231980004846,0.0
2025-11-03T01:01:33+00:00,61.31,61.31,61.31,61.31,1,0.0,-35.81575854531722,0.016313213703107857
2025-11-03T01:01:36+00:00,61.29,61.29,61.29,61.29,1,0.0,-35.815758545317216,0.03264240248081609
2025-11-03T01:01:45+00:00,61.29,61.3,61.29,61.3,3,0.00999999999999801,-29.01560432328466,0.016315875346709103
2025-11-03T01:01:48+00:00,61.3,61.3,61.29,61.29,2,0.00999999999999801,-44.46898825201162,0.03264240248081609
2025-11-03T01:01:51+00:00,61.29,61.29,61.29,61.29,1,0.0,-58.385969876579416,0.06530612244897821
2025-11-03T01:01:57+00:00,61.29,61.29,61.29,61.29,4,0.0,-63.912874141537046,0.03264240248081609
2025-11-03T01:02:00+00:00,61.3,61.32,61.3,61.32,3,0.020000000000003126,-48.248687751843825,0.09794319294809382
2025-11-03T01:02:03+00:00,61.31,61.33,61.31,61.33,4,0.01999999999999602,-18.293663892159966,0.06526350138684801
2025-11-03T01:02:09+00:00,61.33,61.33,61.33,61.33,3,0.0,-18.29366389215996,0.08159268929503452
2025-11-03T01:02:12+00:00,61.34,61.35,61.34,61.35,6,0.00999999999999801,-37.72184540756256,0.09789525208027783
2025-11-03T01:02:18+00:00,61.34,61.34,61.34,61.34,2,0.0,-37.721845407562554,0.0489316587832346
2025-11-03T01:02:21+00:00,61.34,61.36,61.34,61.36,9,0.01999999999999602,2.2761473598633892,0.11421112742698693
2025-11-03T01:02:24+00:00,61.37,61.37,61.35,61.36,6,0.01999999999999602,51.162582964495115,0.09787928221860076
2025-11-03T01:02:27+00:00,61.35,61.36,61.35,61.36,2,0.00999999999999801,81.0376269451034,0.11421112742698693
2025-11-03T01:02:30+00:00,61.35,61.35,61.35,61.35,4,0.0,32.6147523396812,0.09789525208027783
2025-11-03T01:02:33+00:00,61.36,61.36,61.36,61.36,5,0.0,-0.057671750555674015,0.11421112742698693
2025-11-03T01:02:36+00:00,61.37,61.37,61.36,61.37,6,0.00999999999999801,30.054334698524276,0.0815394651011043
2025-11-03T01:02:39+00:00,61.37,61.37,61.36,61.36,2,0.00999999999999801,66.85789813628867,0.0489157019403247
2025-11-03T01:02:42+00:00,61.37,61.37,61.37,61.37,11,0.0,-12.163533968488936,0.06522093592042907
2025-11-03T01:02:54+00:00,61.37,61.37,61.36,61.36,2,0.00999999999999801,-26.035068254937965,0.016299918500404253
2025-11-03T01:02:57+00:00,61.36,61.36,61.36,61.36,2,0.0,-26.035068254937975,0.032605151613948516
2025-11-03T01:03:00+00:00,61.36,61.38,61.36,61.38,6,0.020000000000003126,1.0583321995259756,0.03259452411995294
2025-11-03T01:03:03+00:00,61.37,61.37,61.37,61.37,4,0.0,1.058332199525969,0.01629726205997068
2025-11-03T01:03:06+00:00,61.37,61.38,61.37,61.37,5,0.010000000000005116,-18.909479013056814,0.01629726205997068
2025-11-03T01:03:09+00:00,61.38,61.38,61.36,61.37,7,0.020000000000003126,-12.794096423254157,0.032599837000808506
2025-11-03T01:03:12+00:00,61.37,61.37,61.37,61.37,1,0.0,-27.184918092132826,0.01629726205997068
2025-11-03T01:03:15+00:00,61.36,61.37,61.36,61.37,3,0.00999999999999801,-7.015661977193853,0.0
2025-11-03T01:03:21+00:00,61.37,61.38,61.37,61.38,2,0.010000000000005116,17.635651052193516,0.03259452411995294
2025-11-03T01:03:24+00:00,61.37,61.4,61.37,61.4,40,0.030000000000001137,59.859206801643396,0.048883819455762
2025-11-03T01:03:27+00:00,61.41,61.43,61.41,61.41,17,0.020000000000003126,68.71299343938374,0.081486310299865
2025-11-03T01:03:30+00:00,61.42,61.42,61.41,61.41,2,0.010000000000005116,95.67134158655489,0.081486310299865
2025-11-03T01:03:33+00:00,61.41,61.41,61.41,61.41,2,0.0,47.17764399763808,0.04887585532745851
2025-11-03T01:03:36+00:00,61.42,61.42,61.42,61.42,1,0.0,47.17764399763809,0.08147303242627385
2025-11-03T01:03:39+00:00,61.4,61.4,61.4,61.4,1,0.0,-15.43641105349616,0.048883819455762
2025-11-03T01:03:42+00:00,61.4,61.41,61.39,61.4,12,0.01999999999999602,36.56081313643775,0.048883819455762
2025-11-03T01:03:45+00:00,61.39,61.39,61.39,61.39,3,0.0,3.630956114632548,0.03258921297051186
2025-11-03T01:03:48+00:00,61.41,61.45,61.41,61.44,17,0.04000000000000625,39.369407753375604,0.11406224539677415
2025-11-03T01:03:51+00:00,61.43,61.44,61.43,61.44,3,0.00999999999999801,62.0324580543773,0.09775171065492859
2025-11-03T01:03:54+00:00,61.43,61.43,61.43,61.43,3,0.0,26.885956880918542,0.04885993485342205
2025-11-03T01:03:57+00:00,61.42,61.42,61.42,61.42,4,0.0,0.29618231744834417,0.016283992835051483
2025-11-03T01:04:00+00:00,61.42,61.43,61.42,61.42,7,0.00999999999999801,-28.79975729865446,0.016283992835051483
2025-11-03T01:04:03+00:00,61.43,61.43,61.42,61.42,2,0.00999999999999801,-34.34301921461257,0.016283992835051483
2025-11-03T01:04:06+00:00,61.42,61.44,61.42,61.44,8,0.01999999999999602,-15.83409576286755,0.03256268316508632
2025-11-03T01:04:09+00:00,61.43,61.44,61.43,61.43,7,0.00999999999999801,1.004901666542642,0.04885993485342205
2025-11-03T01:04:12+00:00,61.43,61.43,61.42,61.42,3,0.00999999999999801,21.58589852471066,0.032573289902285224
2025-11-03T01:04:18+00:00,61.43,61.43,61.41,61.42,8,0.020000000000003126,71.89500195580591,0.048867893793779336
2025-11-03T01:04:21+00:00,61.42,61.42,61.42,61.42,1,0.0,6.443846909627624,-0.03255208333332686
2025-11-03T01:04:24+00:00,61.41,61.41,61.41,61.41,1,0.0,6.443846909627619,-0.04882812500000185
2025-11-03T01:04:27+00:00,61.41,61.41,61.4,61.41,26,0.00999999999999801,-36.89915656651655,-0.03255738238646122
2025-11-03T01:04:30+00:00,61.41,61.41,61.39,61.4,7,0.01999999999999602,-17.751434507085303,-0.03256268316509789
2025-11-03T01:04:33+00:00,61.38,61.39,61.38,61.39,4,0.00999999999999801,-0.6565363404917023,-0.04884402474764106
2025-11-03T01:04:36+00:00,61.39,61.39,61.39,61.39,4,0.0,-0.6565363404916879,-0.04884402474764106
2025-11-03T01:04:42+00:00,61.39,61.39,61.38,61.38,3,0.00999999999999801,-0.5229830768562795,-0.09765624999999215
2025-11-03T01:04:45+00:00,61.38,61.39,61.38,61.38,3,0.00999999999999801,-0.4188469793110218,-0.0813934559661357
2025-11-03T01:04:57+00:00,61.38,61.38,61.38,61.38,5,0.0,-33.02030381601085,-0.06512536633018422
2025-11-03T01:05:00+00:00,61.39,61.4,61.39,61.4,4,0.00999999999999801,-27.515335226349503,-0.03256268316509789
2025-11-03T01:05:03+00:00,61.38,61.38,61.38,61.38,2,0.0,-39.78490493856966,-0.06512536633018422
2025-11-03T01:05:09+00:00,61.38,61.38,61.38,61.38,1,0.0,-57.40826461215447,-0.04885197850511974
2025-11-03T01:05:12+00:00,61.39,61.39,61.39,61.39,2,0.0,-57.40826461215447,-0.03256798567007983
2025-11-03T01:05:15+00:00,61.39,61.39,61.39,61.39,1,0.0,-57.40826461215447,-0.016286644951136825
2025-11-03T01:05:21+00:00,61.38,61.38,61.38,61.38,2,0.0,-66.3885658259821,-0.016289297931255924
2025-11-03T01:05:24+00:00,61.37,61.37,61.36,61.36,5,0.00999999999999801,-60.81466861261294,-0.048867893793779336
2025-11-03T01:05:27+00:00,61.36,61.36,61.36,61.36,2,0.0,-67.55763110874182,-0.03258390355165058
2025-11-03T01:05:30+00:00,61.35,61.35,61.35,61.35,3,0.0,-67.55763110874182,-0.04887585532747008
2025-11-03T01:05:36+00:00,61.35,61.35,61.35,61.35,6,0.0,-74.1917849777606,-0.04887585532747008
2025-11-03T01:05:39+00:00,61.35,61.35,61.35,61.35,1,0.0,-79.35231704055873,-0.0814332247556957
2025-11-03T01:05:42+00:00,61.34,61.34,61.33,61.34,17,0.010000000000005116,-54.91313377968038,-0.0651678071032896
2025-11-03T01:05:48+00:00,61.34,61.34,61.34,61.34,14,0.0,-65.28310846705044,-0.0651678071032896
2025-11-03T01:05:51+00:00,61.34,61.34,61.34,61.34,2,0.0,-65.28310846705045,-0.08144648965629118
2025-11-03T01:05:54+00:00,61.33,61.33,61.33,61.33,1,0.0,-65.28310846705044,-0.09773578758755867
2025-11-03T01:06:00+00:00,61.32,61.33,61.32,61.33,4,0.00999999999999801,-23.289985575680916,-0.08145975887912066
2025-11-03T01:06:12+00:00,61.32,61.33,61.31,61.33,7,0.01999999999999602,79.35987038100018,-0.04889178617992363
2025-11-03T01:06:15+00:00,61.33,61.33,61.33,61.33,2,0.0,79.35987038100019,-0.04889178617992363
2025-11-03T01:06:18+00:00,61.33,61.33,61.33,61.33,1,0.0,1.5222110478743742,-0.032599837000820094
2025-11-03T01:06:39+00:00,61.32,61.32,61.32,61.32,1,0.0,1.5222110478743756,-0.04889975550122434
2025-11-03T01:06:48+00:00,61.32,61.32,61.31,61.31,7,0.00999999999999801,66.35054158474038,-0.0651996740016286
2025-11-03T01:06:51+00:00,61.3,61.3,61.3,61.3,1,0.0,66.35054158474038,-0.0652103032279202
2025-11-03T01:06:54+00:00,61.31,61.31,61.31,61.31,2,0.0,66.3505415847404,-0.048907727420934355
2025-11-03T01:06:57+00:00,61.3,61.3,61.3,61.3,3,0.0,-23.819206551438974,-0.0652103032279202
2025-11-03T01:07:00+00:00,61.29,61.29,61.28,61.28,8,0.00999999999999801,42.430935404366046,-0.08152616990053344
2025-11-03T01:07:06+00:00,61.27,61.27,61.27,61.27,2,0.0,42.43093540436604,-0.09783140388063781
2025-11-03T01:07:09+00:00,61.27,61.27,61.27,61.27,1,0.0,42.430935404366046,-0.09783140388063781
2025-11-03T01:07:15+00:00,61.28,61.28,61.28,61.28,1,0.0,-35.53958537905969,-0.08152616990053344
2025-11-03T01:07:18+00:00,61.27,61.27,61.27,61.27,1,0.0,-72.43107209619323,-0.09783140388063781
2025-11-03T01:07:21+00:00,61.27,61.27,61.27,61.27,2,0.0,-72.43107209619323,-0.0815394651011043
